date,activities,publishers
2020-06-02,402,29
2020-06-01,383,28
2020-05-31,383,28
2020-05-30,382,28
2020-05-29,362,27
2020-05-28,338,25
2020-05-27,331,24
2020-05-26,322,23
2020-05-25,322,23
2020-05-24,322,23
2020-05-23,322,23
2020-05-22,301,21
2020-05-21,301,21
2020-05-20,300,21
2020-05-19,295,21
2020-05-18,289,21
2020-05-17,289,21
2020-05-16,289,21
2020-05-15,288,21
2020-05-14,282,21
2020-05-13,278,21
2020-05-12,270,20
2020-05-11,270,20
2020-05-10,270,20
2020-05-09,269,19
2020-05-08,268,18
2020-05-07,162,18
2020-05-06,155,18
2020-05-05,153,18
2020-05-04,152,18
2020-05-03,150,18
2020-05-02,152,18
2020-05-01,134,17
2020-04-30,128,16
2020-04-29,116,14
2020-04-28,112,14
2020-04-27,53,13
2020-04-26,52,12
2020-04-25,53,13
2020-04-24,53,13
2020-04-23,52,13
2020-04-22,52,13
2020-04-21,50,12
2020-04-20,49,12
2020-04-19,49,12
2020-04-18,48,11
2020-04-17,47,10
2020-04-16,47,10
2020-04-15,45,10
2020-04-14,45,10
2020-04-13,46,10
2020-04-12,46,10
2020-04-11,46,10
2020-04-10,46,10
2020-04-09,44,10
2020-04-08,42,10
2020-04-07,39,10
2020-04-06,29,9
2020-04-05,29,9
2020-04-04,29,9
2020-04-03,28,9
2020-04-02,22,7
2020-04-01,21,6
2020-03-31,21,6
2020-03-30,21,6
2020-03-29,21,6
2020-03-28,18,6
2020-03-27,16,5
2020-03-26,4,3
2020-03-25,4,3
2020-03-25,0,0
